"GeneID","GeneName","Cluster","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj"
"AT3G01420","DOX1",1,2914,"NSS",0.431052912674286,0.302243434651826,0.968884208615534,0.580914277264613,1.09950648585349,0.00428886144870474,0.0251944766623521,7.68646580501425e-08,0.000408185713539427,3.64085010687981e-09
"AT3G01470","HAT5/ATHB-1",3,1146,"NSS",-0.503921436490214,-0.428789912887804,-0.472541924173176,-0.103900823288718,0.429529499446214,1.76312385665027e-12,1.9506036018232e-09,5.43188369165903e-11,0.236977055156897,6.94505284765719e-09
"AT3G01500","BCA1/CA1",3,350,"NSS",0.019888812094554,-0.598338922982403,-0.427632186905103,-0.238524672585096,-0.565144117740447,0.241189297782997,0.00204138514804905,0.0213054512726357,0.0645625757978532,0.0229100001664065
"AT3G01513","AT3G01513",4,2211,"NSS",-1.10722368938119,-1.02702529276463,-0.782675957750151,-0.603652645819454,-0.726919484949081,4.3266952528904e-12,5.20153633368917e-12,3.78577192474103e-07,2.06267178657221e-05,7.31698557963028e-07
"AT3G01640","ATGLCAK",1,3305,"NSS",0.527486496739235,0.486710753088387,0.460165945904772,0.166308580249676,0.555498993922434,1.6937478561238e-09,1.46199913706714e-08,2.68219383815682e-07,0.0884736688610065,1.08428693574382e-10
"AT3G01730","AT3G01730",1,3792,"UP",0.812907050770687,0.680219535113992,-0.42136535364009,-0.384355184333077,0.586607318320351,0.00292244185846672,0.0103770467426399,0.541367191522207,0.613413455360238,0.0354918181663581
"AT3G01760","AT3G01760",4,1907,"NSS",-1.10319800471649,-0.895513158231931,-0.973193272071794,-0.341219921573902,-2.03738504899851,1.06106920750536e-06,2.26034228256608e-06,9.67204128985869e-06,0.00286600424979723,2.78046004776824e-09
"AT3G01820","AT3G01820",1,2737,"NSS",0.620324582015535,0.558900515012447,0.452628057277815,0.223664749795964,0.450454634136161,1.4586444419335e-09,3.61838508737645e-08,1.49067177284425e-05,0.041001781174889,1.09419332452316e-05
"AT3G01830","CML40",1,3791,"NSS",1.14897586143796,0.495158074326734,-0.895263675844304,-0.386129362349257,-1.32900915273881,0.0387010589573904,0.5584807361944,0.0173055002852295,0.268534759058372,0.00292572564507742
"AT3G01870","AT3G01870",3,106,"NSS",-0.213737690733846,-0.280299352412194,-0.371118370564665,-0.679458988445559,-0.461407389648456,0.106481815712421,0.0667405256451875,0.0513885628795828,0.00296107966546175,0.0360030950911254
"AT3G01950","AT3G01950",3,1287,"NSS",-0.0213194743122006,-0.0991709008818708,-0.510001416130909,-0.0365761953018952,-0.769932627065454,0.801460536735506,0.446936189433501,5.39674049480877e-05,0.771904437184038,2.17775768391582e-10
"AT3G01970","WRKY45",1,3932,"NSS",0.351015010753067,0.635605975643241,-0.0010049216638881,0.299648997672058,0.578015930616583,0.0592650450597473,0.00179273033485512,0.617437171045799,0.110342364717362,0.00521012338210224
"AT3G01990","ACR6",3,333,"NSS",0.214986733634715,-0.530347910659047,-0.207719020836098,-0.0192617489079525,0.813834495941667,0.446731318384331,0.0176050811927838,0.437801173705765,0.937316329618779,0.000140842608194605
"AT3G02000","GRXC7/ROXY1",1,4218,"NSS",0.531366478692951,0.26257120546121,0.307164639183579,0.268407371505018,0.180009966034115,0.0107676077587744,0.144946243676822,0.118215421057099,0.163874293308421,0.281272645405793
"AT3G02020","AK3",5,1554,"NSS",-2.03325763376065,-2.07180231546293,-2.10570844826477,-1.1369239274587,-2.28801629034943,6.8318072883663e-30,1.27166878841551e-32,6.72372391565498e-31,1.7616451483435e-14,6.56810455506511e-34
"AT3G02030","AT3G02030",3,396,"NSS",-0.386388210745847,-0.500849987288374,-0.43940162971668,-0.0305420109349277,-0.162253729083399,0.00712575816549733,0.000248584455254028,0.003321239385294,0.752160802284627,0.251519337245561
"AT3G02120","AT3G02120",4,2607,"NSS",-0.816251767982405,-0.605809825330758,-0.276103648380402,-0.481920901675839,-0.54925871285267,1.53719792362849e-12,6.6743014204411e-08,0.0152024451276853,2.57517891621848e-05,1.18897031544638e-06
"AT3G02140","AFP4/TMAC2",5,1692,"NSS",-1.46526576660651,-0.989031770946682,-1.30901136325049,-1.0405228552833,0.148474621934855,4.88257998740004e-26,3.78422264958788e-15,5.25192035096843e-21,7.93387864907708e-16,0.976291805480449
"AT3G02210","COBL1",2,4951,"NSS",1.05251599859747,0.9716416729188,1.06465748282556,0.852868239450303,1.42696262990804,1.59141202039395e-14,2.22424448726408e-13,1.70551111947708e-14,1.02391901681704e-10,4.80978197391947e-24
"AT3G02240","RGF7",3,1155,"NSS",-0.573555394412261,-0.304471491227364,-0.507032744502581,-0.0500120901276216,-1.71982578761627,0.00173343993602417,0.0621323861523178,0.00538467285226519,0.51119543352019,1.46510527022804e-16
"AT3G02242","GLV8",4,1768,"NSS",-0.751040739278667,-0.675586698694543,-1.03414893584619,0.0765416348275632,-1.04900096457668,0.000446994406730619,0.000512409829016237,2.15273551111767e-05,0.489289143397126,1.58874407353408e-05
"AT3G02310","Sep/02",1,4033,"NSS",0.617645499262182,0.320586551595521,0.0367992473586311,-0.182415638393666,-0.114707406150909,0.0412053095287356,0.106976474641669,0.262589338013895,0.556713095798134,0.353990848073088
"AT3G02370","AT3G02370",3,989,"NSS",-0.618593172011662,-0.0668990632334507,-0.142873228777018,-0.306160737129429,-0.103209304514361,0.00777172026263453,0.586624939945126,0.437740554936213,0.167753486000309,0.526722389166882
"AT3G02430","DMP5",3,1375,"NSS",-0.205251584848406,-0.339299158328479,-0.586108843368356,-0.356758247417162,-0.14227678978825,0.128562922380208,0.0558899952339554,0.0158781759886262,0.0511358981497227,0.190345556924145
"AT3G02480","AT3G02480",6,4590,"NSS",2.89653398890608,2.29742982460866,2.56409842371175,2.20882220137859,3.513307400671,8.43143919934929e-153,5.62155269027679e-131,6.25509947602446e-140,5.6206482173549e-129,1.17721887946241e-173
"AT3G02493","RTFL19",3,2,"NSS",-0.831761624710183,-0.539181797274859,0.162414041614745,-0.404472952415698,-0.538591410445934,0.00115707831096122,0.0109974142886122,0.714653439925319,0.0445462340554985,0.0205901961973678
"AT3G02550","LBD41",2,4652,"NSS",1.03314078933771,0.721046095624711,0.734720502513267,0.762469953374264,1.07573790197841,5.93488502099371e-15,1.23429391253845e-08,1.67602975939729e-08,3.13647644015811e-09,4.88102176633235e-16
"AT3G02610","AT3G02610",1,4556,"NSS",0.361884726472089,0.204870594378239,0.505615988116757,0.0661909883227242,-0.02922803630875,0.0930208629168583,0.3025838475486,0.0248671717974397,0.641587644394764,0.831963160586992
"AT3G02620","AT3G02620",1,3783,"UP",0.611106047533234,0.672125376084535,0.423713456841136,-0.418183638213979,-0.381606067602679,0.00851817281642214,0.00327094471349616,0.0721434732129316,0.357149880694342,0.458466611750306
